frase,sentimento
Estou furioso com essa falta de respeito,raiva
Estou cansado de lidar com tanta incompetência,raiva
Que coisa mais absurda!,raiva
Estou indignado com essa falta de consideração,raiva
Que coisa mais inaceitável!,raiva
Essa situação me irrita profundamente,raiva
Não vou aceitar mais essa falta de comprometimento,raiva
minha comida queimou,raiva
perdi meu onibus,raiva
Estou com uma raiva imensa dessa negligência,raiva
Estou completamente irritado com essa situação inaceitável,raiva
Essa situação é inaceitável e me deixa furioso,raiva
Estou indignado com essa negligência,raiva
Essa falta de transparência me deixa enfurecido,raiva
Isso é inadmissível!,raiva
Não há nada que me deixe mais irritado do que isso,raiva
Não aguento mais essa bagunça,raiva
Não vou tolerar mais esse comportamento inadequado,raiva
Que situação lamentável!,raiva
Estou furioso com essa falta de responsabilidade,raiva
Estou furioso com essa falta de responsabilidade,raiva
Não posso acreditar na falta de ética desse indivíduo,raiva
Estou completamente irritado com essa situação revoltante,raiva
Não aguento mais!,raiva
Estou farto dessa falta de profissionalismo,raiva
Estou completamente exasperado com essa falta de transparência,raiva
Estou completamente irritado com essa situação inadmissível,raiva
Estou enfurecido com tanta incompetência,raiva
Não vou tolerar mais esse comportamento inadequado,raiva
Essa falta de comprometimento me deixa furioso,raiva
Estou fervendo de tanta raiva com essa descaso,raiva
Estou enfurecido com essa falta de respeito,raiva
Estou fulo da vida!,raiva
Estou furioso com essa bagunça,raiva
Estou furioso com essa falta de responsabilidade,raiva
Estou com vontade de socar algo!,raiva
Estou extremamente irritado com essa bagunça,raiva
Estou fervendo de tanta raiva,raiva
Não aguento mais!,raiva
Estou exasperado!,raiva
Estou enfurecido até a medula!,raiva
Não aguento mais essa bagunça,raiva
Estou completamente exasperado com essa situação,raiva
Estou fervendo de tanta raiva com essa descaso,raiva
Estou extremamente irritado com essa incompetência,raiva
Estou completamente exasperado com essa incompetência,raiva
Estou com uma raiva imensa dessa situação,raiva
Estou revoltado com tamanha injustiça,raiva
Estou fervendo por dentro!,raiva
Estou exasperado com essa falta de respeito,raiva
Estou furioso com essa falta de transparência,raiva
Não há quem aguente isso!,raiva
Essa situação é inadmissível e me deixa furioso,raiva
Essa negligência me deixa extremamente irritado,raiva
Não há nada que me deixe mais irritado do que isso,raiva
Estou completamente irritado com essa situação lamentável,raiva
Estou indignado com essa falta de respeito,raiva
Não vou tolerar mais esse tratamento desrespeitoso,raiva
Não vou tolerar mais esse tratamento desrespeitoso,raiva
Estou completamente irritado com essa falta de comprometimento,raiva
Estou fervendo de tanta raiva,raiva
Estou indignado com essa falta de responsabilidade,raiva
Não há quem aguente isso!,raiva
Estou com vontade de quebrar tudo!,raiva
Estou furioso com essa falta de responsabilidade,raiva
Estou furioso com essa falta de responsabilidade,raiva
Estou fervendo de tanta raiva com essa situação,raiva
Essa falta de comprometimento me deixa extremamente irritado,raiva
Não há nada que me irrite mais do que isso,raiva
Não aguento mais essa palhaçada,raiva
estou cansado das suas atitudes,raiva
estou cansado de você,raiva
Estou com uma raiva imensa dessa falta de comprometimento,raiva
Estou prestes a explodir!,raiva
Estou fervendo de raiva com essa falta de ética,raiva
Estou furioso com essa falta de respeito,raiva
Estou com um ódio mortal!,raiva
Estou exasperado com essa falta de respeito,raiva
Que palhaçada!,raiva
Estou indignado com essa negligência,raiva
Não aguento mais essa bagunça,raiva
Estou furioso com essa situação insuportável,raiva
Estou completamente irritado com essa situação inaceitável,raiva
Essa situação é inadmissível e me deixa furioso,raiva
Estou furioso com tamanha falta de consideração,raiva
Essa atitude me deixa completamente indignado,raiva
Estou com um ódio mortal!,raiva
Estou indignado com essa situação desrespeitosa,raiva
Estou com vontade de gritar!,raiva
Estou furioso com essa situação insuportável,raiva
Estou exasperado com essa falta de respeito,raiva
Não suporto mais esse comportamento inadequado,raiva
Não acredito nisso!,raiva
Estou farto de lidar com tanta incompetência,raiva
Não há paciência que resista!,raiva
Estou fervendo de tanta raiva,raiva
Estou extremamente irritado com essa falta de consideração,raiva
Que palhaçada!,raiva
Estou fervendo por dentro de tanta raiva!,raiva
Não há nada que me irrite mais do que isso,raiva
Não há nada que me irrite mais do que isso,raiva
Estou completamente irritado com essa situação desrespeitosa,raiva
Não quero saber de nada eu te odeio!,raiva
eu te odeio,raiva
Estou com uma raiva imensa dessa situação,raiva
Estou indignado com essa falta de ética,raiva
Essa falta de ética me deixa furioso,raiva
Não suporto mais essa falta de comprometimento,raiva
Estou com uma raiva imensa dessa falta de respeito,raiva
Não aguento mais essa bagunça,raiva
Que decepção!,raiva
Estou completamente exasperado com essa negligência,raiva
Estou cheio de raiva dessa atitude,raiva
Essa negligência me deixa extremamente irritado,raiva
Estou exasperado com essa falta de respeito,raiva
Isso me deixa de cabelo em pé!,raiva
Estou furioso com essa falta de respeito,raiva
Que horror!,raiva
Não suporto mais essa falta de respeito,raiva
Que decepção!,raiva
Isso é um desrespeito sem tamanho!,raiva
Estou completamente indignado com essa situação,raiva
Estou com ódio mortal!,raiva
Estou com uma raiva imensa dessa falta de comprometimento,raiva
Estou completamente exasperado com essa incompetência,raiva
Não aguento mais essa palhaçada,raiva
Estou indignado com tamanha falta de consideração,raiva
Isso é inadmissível!,raiva
Estou furioso com essa falta de profissionalismo,raiva
Estou com vontade de gritar!,raiva
Estou completamente irritado com essa situação revoltante,raiva
Isso me deixa de cabelo em pé!,raiva
Estou com uma raiva imensa dessa falta de comprometimento,raiva
Estou fervendo de tanta raiva com essa situação,raiva
Estou enfurecido com tanta incompetência,raiva
Estou completamente irritado com essa situação,raiva
Estou exasperado com essa falta de respeito,raiva
Estou indignado com essa falta de consideração,raiva
Isso é um ultraje!,raiva
Não posso acreditar na falta de ética desse indivíduo,raiva
Estou completamente irritado com essa situação,raiva
Não há nada que me deixe mais furioso do que isso,raiva
Essa falta de comprometimento me deixa extremamente irritado,raiva
Não aguento mais essa palhaçada,raiva
Estou indignado com tamanha falta de consideração,raiva
Que absurdo é esse?,raiva
Estou fervendo de tanta raiva com essa descaso,raiva
Estou com uma raiva imensa dessa falta de comprometimento,raiva
Não suporto mais essa falta de profissionalismo,raiva
Que falta de vergonha na cara!,raiva
Essa atitude me deixa revoltado,raiva
Não aguento mais essa situação desrespeitosa,raiva
Estou com uma raiva imensa dessa falta de comprometimento,raiva
Estou com vontade de quebrar tudo!,raiva
Não aguento mais lidar com tanta incompetência,raiva
Inaceitável!,raiva
Não dá para acreditar nisso!,raiva
Estou completamente irritado com essa falta de comprometimento,raiva
Estou indignado com essa falta de respeito,raiva
Estou exasperado com essa falta de respeito,raiva
Estou fulo da vida!,raiva
Estou fervendo de tanta raiva com essa situação,raiva
Não aguento mais essa palhaçada,raiva
Não há paciência que resista!,raiva
Isso é ultrajante!,raiva
Estou fervendo de tanta raiva!,raiva
Estou com uma raiva imensa dessa falta de consideração,raiva
Não tolero mais essa falta de respeito!,raiva
Estou com vontade de socar algo!,raiva
Estou prestes a perder o controle!,raiva
Estou fervendo por dentro de tanta raiva!,raiva
Estou exasperado com essa falta de respeito,raiva
Estou fervendo de tanta raiva!,raiva
Não há nada que me irrite mais do que isso,raiva
Estou farto dessa falta de profissionalismo,raiva
Estou completamente exasperado com essa negligência,raiva
Que absurdo é esse?,raiva
Essa falta de ética me deixa furioso,raiva
Estou explodindo de tanta raiva!,raiva
Que coisa mais revoltante é essa?,raiva
Que coisa mais irritante é essa?,raiva
Estou cheio de raiva dessa atitude,raiva
Estou furioso com essa falta de ética,raiva
Estou completamente exasperado com essa negligência,raiva
Estou fervendo de tanta raiva,raiva
Estou cheio de raiva dessa atitude,raiva
Não suporto mais esse comportamento inadequado,raiva
Essa falta de comprometimento me deixa furioso,raiva
Estou cheio de raiva dessa atitude,raiva
Não aguento mais essa falta de profissionalismo,raiva
Não há nada que me deixe mais irritado do que isso,raiva
Não suporto mais essa falta de comprometimento,raiva
Estou enfurecido com tanta incompetência,raiva
Essa situação é inaceitável e me deixa enfurecido,raiva
Estou com uma raiva imensa dessa falta de consideração,raiva
Estou explodindo de tanta raiva!,raiva
Estou indignado com essa falta de profissionalismo,raiva
Estou completamente irritado com essa falta de comprometimento,raiva
Não aguento mais essa palhaçada,raiva
Estou completamente indignado com essa situação,raiva
Estou furioso com essa falta de responsabilidade,raiva
Essa falta de ética me deixa furioso,raiva
Estou com uma raiva imensa dessa falta de ética,raiva
Estou completamente indignado com essa situação,raiva
Estou indignado com essa falta de respeito,raiva
Estou furioso com essa bagunça,raiva
Não há nada que me deixe mais furioso do que isso,raiva
Não suporto mais lidar com tanta incompetência,raiva
Estou com uma raiva imensa dessa falta de comprometimento,raiva
Estou indignado com tanta falta de consideração,raiva
Essa atitude é revoltante e me deixa enfurecido,raiva
Que coisa mais estúpida é essa?,raiva
Estou indignado com essa bagunça,raiva
Não me faça perder a paciência!,raiva
Estou com a corda toda de tanto ódio!,raiva
Estou indignado com essa falta de consideração,raiva
Não vou tolerar mais esse tratamento desrespeitoso,raiva
Estou exasperado com essa falta de respeito,raiva
Estou com vontade de gritar!,raiva
Estou cheio de raiva dessa atitude,raiva
Que desrespeito!,raiva
Estou furioso com essa falta de ética,raiva
Não aguento mais essa palhaçada,raiva
Estou explodindo de tanta raiva!,raiva
Estou enfurecido com essa falta de profissionalismo,raiva
Estou com o sangue fervendo!,raiva
Estou indignado com tanta falta de consideração,raiva
Estou completamente exasperado com essa falta de transparência,raiva
Estou prestes a explodir!,raiva
Não há nada que me deixe mais furioso do que isso,raiva
Estou completamente irritado com essa situação,raiva
Estou indignado com essa falta de profissionalismo,raiva
Que coisa mais desaforada é essa?,raiva
Estou irado!,raiva
Não suporto mais essa falta de consideração,raiva
Não aguento mais essa situação desrespeitosa,raiva
Estou explodindo de tanta raiva!,raiva
Estou prestes a explodir!,raiva
Estou exasperado com essa falta de respeito,raiva
Essa negligência me deixa extremamente irritado,raiva
Estou com a cabeça a mil de tanta raiva!,raiva
Isso é um desrespeito sem tamanho!,raiva
Estou completamente irritado com essa situação lamentável,raiva
Estou completamente irritado com essa situação absurda,raiva
Não dá para engolir isso!,raiva
Estou furioso com essa falta de profissionalismo,raiva
Que absurdo!,raiva
Isso me tira do sério!,raiva
Não há nada que me deixe mais furioso do que isso,raiva
Estou com uma raiva imensa dessa situação,raiva
Essa situação me irrita profundamente,raiva
Não há nada que me deixe mais revoltado do que isso,raiva
Que coisa mais desaforada!,raiva
Isso é inadmissível!,raiva
Essa falta de comprometimento me deixa furioso,raiva
Estou furioso com essa bagunça,raiva
Não há nada que me deixe mais irritado do que isso,raiva
Não me faça perder a paciência!,raiva
Que palhaçada!,raiva
Estou com o sangue fervendo!,raiva
Estou completamente indignado com essa situação!,raiva
Essa situação é inaceitável e me deixa furioso,raiva
Estou com uma raiva imensa dessa falta de comprometimento,raiva
Não há paciência que resista!,raiva
Não há nada que me irrite mais do que isso,raiva
Não posso acreditar nisso!,raiva
Estou com uma raiva imensa dessa falta de profissionalismo,raiva
Não suporto mais lidar com tanta incompetência,raiva
Estou com a corda toda de tanto ódio!,raiva
Não posso aceitar isso!,raiva
Essa falta de comprometimento me deixa extremamente irritado,raiva
Estou vermelho de tanta raiva!,raiva
Isso é um desrespeito sem tamanho!,raiva
Não posso aceitar esse tipo de comportamento!,raiva
Estou furioso com essa falta de respeito,raiva
Estou completamente exasperado com essa negligência,raiva
Estou completamente indignado com essa situação,raiva
Não aguento mais!,raiva
Estou fervendo de tanta raiva com essa incompetência,raiva
Que coisa mais revoltante é essa?,raiva
Estou farto de lidar com tanta incompetência,raiva
Estou com uma raiva imensa dessa falta de comprometimento,raiva
Não aguento mais essa situação desrespeitosa,raiva
Estou furioso com essa falta de ética,raiva
Não dá para engolir isso!,raiva
Que coisa mais revoltante!,raiva
Não aguento mais lidar com tanta incompetência,raiva
Não vou tolerar mais essa falta de consideração,raiva
Não há nada que me deixe mais irritado do que isso,raiva
Estou com a cabeça a mil de tanta raiva!,raiva
Isso é inadmissível!,raiva
Estou vermelho de tanta raiva!,raiva
Estou furioso com essa falta de profissionalismo,raiva
Que coisa mais absurda é essa?,raiva
Não suporto mais lidar com essa falta de comprometimento,raiva
Estou fervendo de tanta raiva,raiva
Essa atitude me deixa revoltado,raiva
Estou enfurecido com tanta incompetência,raiva
Estou com uma raiva imensa!,raiva
Estou completamente irritado com essa situação,raiva
Não há nada que me deixe mais irritado do que isso,raiva
Não há paciência que resista!,raiva
Estou com uma raiva imensa dessa bagunça,raiva
Não aguento mais essa palhaçada,raiva
Essa situação me deixa absolutamente indignado,raiva
Estou completamente indignado com essa situação,raiva
Isso é um desrespeito sem tamanho!,raiva
Não há nada que me deixe mais revoltado do que isso,raiva
Estou enfurecido com tanta incompetência,raiva
Estou fervendo de raiva,raiva
Isso é um ultraje!,raiva
Não há quem aguente isso!,raiva
Estou com uma raiva imensa dessa falta de comprometimento,raiva
Estou completamente irritado com essa situação,raiva
Estou com ódio!,raiva
Estou furioso com essa falta de responsabilidade,raiva
Que absurdo!,raiva
Estou indignado com essa falta de respeito,raiva
Estou completamente irritado com essa situação absurda,raiva
Não aguento mais!,raiva
Essa falta de transparência me deixa enfurecido,raiva
Estou fervendo de tanta raiva,raiva
Estou completamente exasperado com essa negligência,raiva
Não acredito nisso!,raiva
Estou enfurecido com tanta incompetência,raiva
Essa atitude me deixa extremamente irritado,raiva
Não suporto mais essa falta de profissionalismo,raiva
Não há paciência que resista!,raiva
Estou completamente irritado com essa situação insuportável,raiva
Não vou tolerar mais esse tratamento desrespeitoso,raiva
Estou completamente exasperado com essa bagunça,raiva
Não suporto mais lidar com tanta incompetência,raiva
Que raiva!,raiva
Não vou suportar mais esse tratamento desrespeitoso,raiva
Isso é inadmissível!,raiva
Estou farto de lidar com tanta incompetência,raiva
Estou enfurecido com tanta falta de consideração,raiva
Estou enfurecido com tamanha falta de consideração,raiva
Estou exasperado com essa falta de respeito,raiva
Essa atitude me deixa revoltado,raiva
Que absurdo é esse?,raiva
Estou completamente irritado com essa situação inadmissível,raiva
Não posso aceitar esse tipo de comportamento!,raiva
Que coisa mais desaforada é essa?,raiva
Estou furioso com essa falta de transparência,raiva
Não aguento mais essa palhaçada,raiva
Estou enfurecido com essa falta de respeito,raiva
Isso me deixa de cabelo em pé!,raiva
Não suporto mais essa falta de respeito,raiva
Estou extremamente irritado com essa bagunça,raiva
Essa atitude me deixa revoltado,raiva
Não suporto mais esse comportamento inadequado,raiva
Não suporto mais esse comportamento inadequado,raiva
Estou completamente exasperado com essa situação,raiva
Estou em pé de guerra!,raiva
Essa situação me irrita profundamente,raiva
Estou completamente indignado com essa situação,raiva
Não há nada que me deixe mais irritado do que isso,raiva
Que coisa mais absurda é essa?,raiva
Estou extremamente irritado com essa bagunça,raiva
Essa situação é inaceitável e me deixa revoltado,raiva
Não vou aceitar mais essa falta de comprometimento,raiva
Não tolero mais essa falta de respeito!,raiva
Não há nada que me deixe mais furioso do que isso,raiva
Estou indignado com essa negligência,raiva
Estou enfurecido com tanta falta de consideração,raiva
Essa situação é inadmissível e me deixa furioso,raiva
Estou furioso com essa falta de transparência,raiva
Não aguento mais essa palhaçada,raiva
Não suporto mais essa falta de respeito,raiva
Estou com uma raiva imensa dessa falta de comprometimento,raiva
Estou completamente exasperado com essa negligência,raiva
Não há nada que me irrite mais do que isso,raiva
Estou com vontade de socar algo!,raiva
Estou enfurecido!,raiva
Não suporto mais esse comportamento inadequado,raiva
Isso é um ultraje!,raiva
Estou quase tendo um ataque de tanta raiva!,raiva
Que absurdo!,raiva
Não há nada que me deixe mais irritado do que isso,raiva
Não há nada que me irrite mais do que isso,raiva
Estou vermelho de raiva!,raiva
Não vou tolerar mais esse tratamento desrespeitoso,raiva
Não há nada que me deixe mais furioso do que isso,raiva
Estou completamente indignado com essa situação,raiva
Que coisa mais absurda é essa?,raiva
Estou indignado com essa situação desrespeitosa,raiva
Não há quem aguente isso!,raiva
Estou com uma raiva imensa dessa falta de ética,raiva
Estou completamente exasperado com essa negligência,raiva
Isso é inadmissível!,raiva
Estou furioso com essa falta de respeito,raiva
Essa situação é inaceitável e me deixa revoltado,raiva
Estou furioso com essa situação desrespeitosa,raiva
Não posso acreditar na falta de ética desse indivíduo,raiva
Não há nada que me deixe mais irritado do que isso,raiva
Não há nada que me deixe mais irritado do que isso,raiva
Não há nada que me irrite mais do que isso,raiva
Estou completamente furioso!,raiva
Não posso aceitar isso!,raiva
Estou completamente irritado com essa situação inaceitável,raiva
Isso é ultrajante!,raiva
Estou possesso de raiva!,raiva
Eu estou farto de suas desculpas esfarrapadas,raiva
Estou completamente exasperado com essa incompetência,raiva
Estou completamente enraivecido com essa falta de consideração,raiva
Estou enfurecido com tanta incompetência,raiva
Não aguento mais essa bagunça,raiva
Isso me irrita profundamente!,raiva
Estou exasperado com essa falta de respeito,raiva
Não suporto mais essa falta de comprometimento,raiva
Estou com vontade de socar algo!,raiva
Estou com uma raiva que não cabe em mim!,raiva
Que coisa mais estúpida é essa?,raiva
Essa atitude me deixa revoltado,raiva
Não me faça perder a paciência!,raiva
Estou prestes a explodir!,raiva
Estou indignado com essa negligência,raiva
Estou indignado com essa falta de consideração,raiva
Essa situação me deixa absolutamente indignado,raiva
Que coisa mais absurda é essa?,raiva
Estou furioso com essa bagunça,raiva
Que descaso!,raiva
Estou enfurecido com tanta incompetência,raiva
Estou furioso com essa falta de transparência,raiva
Estou quase tendo um ataque de tanta raiva!,raiva
Estou furioso com essa falta de profissionalismo,raiva
Estou furioso com essa falta de profissionalismo,raiva
Estou completamente irritado com essa situação lamentável,raiva
Estou enfurecido com tanta incompetência,raiva
Estou completamente irritado com essa situação inaceitável,raiva
Não aguento mais essa bagunça,raiva
Estou com uma raiva imensa dessa falta de ética,raiva
Que falta de consideração!,raiva
Estou enfurecido com tanta falta de respeito,raiva
Estou completamente exasperado com essa negligência,raiva
Essa falta de comprometimento me deixa extremamente irritado,raiva
Estou fulo da vida!,raiva
Que coisa mais patética!,raiva
Não há nada que me irrite mais do que isso,raiva
Estou prestes a explodir!,raiva
Estou indignado com essa falta de consideração,raiva
Estou completamente irritado com essa situação absurda,raiva
Estou prestes a explodir!,raiva
Não há paciência que resista!,raiva
Estou furioso com essa falta de respeito,raiva
Estou com um ódio que nem se explica!,raiva
Que falta de consideração!,raiva
Isso é uma afronta!,raiva
Estou exasperado com essa falta de respeito,raiva
Não suporto mais essa falta de respeito,raiva
Não suporto mais essa falta de consideração,raiva
Estou com uma raiva imensa dessa falta de comprometimento,raiva
Não aguento mais lidar com essa falta de profissionalismo,raiva
Não vou aceitar mais essa falta de comprometimento,raiva
Estou enfurecido com tanta incompetência,raiva
Essa situação é inaceitável e me deixa revoltado,raiva
Não dá para engolir isso!,raiva
Essa negligência me deixa extremamente irritado,raiva
Estou com uma raiva enorme dessa situação,raiva
Não há nada que me deixe mais irritado do que isso,raiva
Estou fervendo de tanta raiva com essa descaso,raiva
Que coisa mais estúpida é essa?,raiva
Estou fervendo por dentro de tanta raiva!,raiva
Não posso acreditar nisso!,raiva
Estou fervendo por dentro de tanta raiva!,raiva
Estou com uma raiva imensa dessa situação,raiva
Que horror!,raiva
Essa situação é inaceitável e me deixa enfurecido,raiva
Essa atitude me deixa completamente indignado,raiva
Que falta de respeito!,raiva
Não posso acreditar na falta de ética desse indivíduo,raiva
Estou furioso com essa falta de ética,raiva
Estou revoltado com tamanha injustiça,raiva
Não vou tolerar mais esse tratamento desrespeitoso,raiva
Isso é um ultraje!,raiva
Que raiva!,raiva
Estou indignado com tanta falta de profissionalismo,raiva
